Number,Quote
1,Believe you can and you're halfway there. - Theodore Roosevelt
2,The only way to do great work is to love what you do. - Steve Jobs
4,"Your time is limited, don't waste it living someone else's life. - Steve Jobs"
6,Don't watch the clock; do what it does. Keep going. - Sam Levenson
7,"Success is not in what you have, but who you are. - Bo Bennett"
8,It always seems impossible until it is done. - Nelson Mandela
10,Don't be pushed around by the fears in your mind. Be led by the dreams in your heart. - Roy T. Bennett
11,You are never too old to set another goal or to dream a new dream. - C.S. Lewis
12,Opportunities don't happen. You create them. - Chris Grosser
13,The road to success and the road to failure are almost exactly the same. - Colin R. Davis
14,The future belongs to those who believe in the beauty of their dreams. - Eleanor Roosevelt
15,Don't be afraid to give up the good to go for the great. - John D. Rockefeller
16,Success usually comes to those who are too busy to be looking for it. - Henry David Thoreau
17,The only way to achieve the impossible is to believe it is possible. - Charles Kingsleigh (Alice in Wonderland)
18,"Do not wait to strike till the iron is hot, but make it hot by striking. - William Butler Yeats"
19,Don't let yesterday take up too much of today. - Will Rogers
20,Success is stumbling from failure to failure with no loss of enthusiasm. - Winston S. Churchill
21,"I find that the harder I work, the more luck I seem to have. - Thomas Jefferson"
22,The only person you are destined to become is the person you decide to be. - Ralph Waldo Emerson
23,Believe in yourself and all that you are. Know that there is something inside you that is greater than any obstacle. - Christian D. Larson
24,Success is not just about making money. It's about making a difference. - Unknown
25,"You don't have to be great to start, but you have to start to be great. - Zig Ziglar"
26,The only limit to our realization of tomorrow will be our doubts of today. - Franklin D. Roosevelt
27,"It's not whether you get knocked down, it's whether you get up. - Vince Lombardi"
28,The best way to predict the future is to create it. - Peter Drucker
29,The only person you are destined to become is the person you decide to be. - Ralph Waldo Emerson
30,Believe you can and you're halfway there. - Theodore Roosevelt
31,The only limit to our realization of tomorrow will be our doubts of today. - Franklin D. Roosevelt
32,"It's not whether you get knocked down, it's whether you get up. - Vince Lombardi"
33,"Success is not final, failure is not fatal: It is the courage to continue that counts. - Winston Churchill"
34,"Your time is limited, don't waste it living someone else's life. - Steve Jobs"
35,The only way to do great work is to love what you do. - Steve Jobs
36,"Success is not in what you have, but who you are. - Bo Bennett"
38,It always seems impossible until it is done. - Nelson Mandela
39,The only place where success comes before work is in the dictionary. - Vidal Sassoon
40,Don't be pushed around by the fears in your mind. Be led by the dreams in your heart. - Roy T. Bennett
41,You are never too old to set another goal or to dream a new dream. - C.S. Lewis
43,The road to success and the road to failure are almost exactly the same. - Colin R. Davis
44,The future belongs to those who believe in the beauty of their dreams. - Eleanor Roosevelt
45,Don't be afraid to give up the good to go for the great. - John D. Rockefeller
46,Success usually comes to those who are too busy to be looking for it. - Henry David Thoreau
47,The only way to achieve the impossible is to believe it is possible. - Charles Kingsleigh (Alice in Wonderland)
48,"Do not wait to strike till the iron is hot, but make it hot by striking. - William Butler Yeats"
49,Don't let yesterday take up too much of today. - Will Rogers
50,Success is stumbling from failure to failure with no loss of enthusiasm. - Winston S. Churchill
